severity,type,component,line,rule,message,status,effort
BLOCKER,CODE_SMELL,batch-console-api/src/test/java/io/github/pinpols/batch/console/domain/workflow/application/WorkflowDesignLockServiceTest.java,111,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,CODE_SMELL,sdk/java/core/src/test/java/io/github/pinpols/batch/sdk/task/SdkCommitCoordinatorTest.java,111,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,BUG,batch-worker/atomic/src/main/java/io/github/pinpols/batch/worker/atomic/storedproc/StoredProcTaskExecutor.java,,java:S2695,"This ""PreparedStatement"" only has 1 parameters.",CLOSED,2min
BLOCKER,CODE_SMELL,batch-console-api/src/test/java/io/github/pinpols/batch/console/domain/rbac/support/LoginProtectionServiceTest.java,122,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,CODE_SMELL,batch-worker/atomic/src/main/java/io/github/pinpols/batch/worker/atomic/runtime/AtomicConnectionManager.java,174,java:S1845,"Rename method ""readOnly"" to prevent any misunderstanding/clash with field ""readOnly"".",OPEN,10min
BLOCKER,CODE_SMELL,batch-orchestrator/src/test/java/io/github/pinpols/batch/orchestrator/infrastructure/lineage/OpenLineageEmitterTest.java,55,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,CODE_SMELL,batch-worker/atomic/src/test/java/io/github/pinpols/batch/worker/atomic/runtime/HttpExecutorProdDefaultsTest.java,89,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,CODE_SMELL,sdk/java/core/src/test/java/io/github/pinpols/batch/sdk/dispatcher/TaskDispatcherTest.java,317,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,BUG,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/workflow/WorkflowRunManagementApplicationService.java,,java:S2229,"""skipNode's"" @Transactional requirement is incompatible with the one for this method.",CLOSED,20min
BLOCKER,CODE_SMELL,batch-orchestrator/src/test/java/io/github/pinpols/batch/orchestrator/auth/ApiKeyVerifierTest.java,348,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,CODE_SMELL,batch-console-api/src/test/java/io/github/pinpols/batch/console/domain/rbac/support/ConsoleJwtServiceTest.java,177,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/workflow/CrossDayDependencyResolver.java,264,java:S1845,"Rename method ""resolved"" to prevent any misunderstanding/clash with field ""resolved"".",OPEN,10min
BLOCKER,CODE_SMELL,batch-worker/core/src/test/java/io/github/pinpols/batch/worker/core/support/PipelineVerifierHookTest.java,81,java:S2699,Add at least one assertion to this test case.,OPEN,10min
BLOCKER,CODE_SMELL,sdk/java/core/src/test/java/io/github/pinpols/batch/sdk/scheduler/HeartbeatSchedulerTest.java,117,java:S2699,Add at least one assertion to this test case.,OPEN,10min
CRITICAL,VULNERABILITY,batch-worker/import/src/main/java/io/github/pinpols/batch/worker/imports/stage/PreprocessStep.java,,java:S5443,Make sure publicly writable directories are used safely here.,CLOSED,30min
CRITICAL,CODE_SMELL,batch-worker/export/src/main/java/io/github/pinpols/batch/worker/exports/stage/StoreStep.java,84,java:S1192,"Define a constant instead of duplicating this literal ""SHA-256"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-orchestrator/src/test/java/io/github/pinpols/batch/orchestrator/integration/SqlConsistencyIntegrationTest.java,53,java:S2093,"Change this ""try"" to a try-with-resources.",OPEN,15min
